PID,Age,Gender,Filename,Question,Scale,Rating,Reason
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,How mentally demanding was the task?,1-20,14.0,Moderate to high mental effort to monitor hazards and the car's responses.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,anxious – relaxed,-3..3,2.0,"I felt somewhat anxious due to the sudden hazard, but stayed composed."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,agitated – calm,-3..3,1.0,"Slight agitation from the abrupt braking, yet I remained calm."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,unsafe – safe,-3..3,-2.0,There was a real risk of collision when the van cut into our lane.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,timid – confident,-3..3,1.0,"I felt cautiously confident in the car's handling, though still careful."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,I trust the highly automated vehicle.,1-5,4.0,"I trust the automated system to manage hazards, given it performed braking."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,I can rely on the highly automated vehicle.,1-5,4.0,I can rely on the system to avoid conflicts in traffic.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,The system state was always clear to me.,1-5,3.0,"The system state was fairly clear, even with the jolt and camera tilt."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,The system reacts unpredictably.,1-5,2.0,The system's response felt predictable and not surprising.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,I was able to understand why things happened.,1-5,4.0,I could understand why the brake was applied and the van's move.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,It’s difficult to identify what the system will do next.,1-5,3.0,It's hard to tell what the system will do next in a lane with a van turning.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,useful – useless,1-7,6.0,The automation was very useful in avoiding a collision.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,pleasant – unpleasant,1-7,5.0,The experience was unpleasant due to the hazard and abrupt stops.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,bad – good,1-7,3.0,"The experience was not ideal, but the outcome was acceptable."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,nice – annoying,1-7,4.0,"The event was annoying due to the shake and stress, though tolerable."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,effective – superfluous,1-7,6.0,The system was effective in slowing and avoiding collision.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,irritating – likeable,1-7,5.0,"Despite the stress, I found the system somewhat likeable for keeping us safe."
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,assisting – worthless,1-7,6.0,The automated braking clearly assisted us and was worthwhile.
10,72,female,processed_1_clip8_pid_10_age_72_female.csv,undesirable – desirable,1-7,6.0,"The incident itself is undesirable, but the automation proved desirable for safety."
