Question,AgeGroup,n,mean,median,std
How aroused are you?,18-33,6,5.333333333333333,5.0,0.5163977794943222
How aroused are you?,34-49,6,4.833333333333333,5.0,0.408248290463863
How aroused are you?,50-65,6,8.166666666666666,5.0,7.756717518813398
How aroused are you?,66-80,6,5.166666666666667,5.0,0.408248290463863
How changeable is the situation?,18-33,6,5.5,5.5,0.5477225575051661
How changeable is the situation?,34-49,6,5.666666666666667,6.0,0.5163977794943223
How changeable is the situation?,50-65,6,8.0,5.5,6.3874877690685254
How changeable is the situation?,66-80,6,5.5,5.5,0.5477225575051662
How complicated is the situation?,18-33,6,5.333333333333333,5.5,0.816496580927726
How complicated is the situation?,34-49,6,5.333333333333333,5.0,0.5163977794943223
How complicated is the situation?,50-65,6,8.166666666666666,5.5,6.794605703546503
How complicated is the situation?,66-80,6,5.666666666666667,6.0,0.5163977794943223
How familiar are you with the situation?,18-33,6,2.5,2.5,0.5477225575051662
How familiar are you with the situation?,34-49,6,2.6666666666666665,3.0,0.5163977794943222
How familiar are you with the situation?,50-65,6,7.5,3.0,11.04083330188442
How familiar are you with the situation?,66-80,6,2.5,2.5,0.5477225575051661
How good is the information you have gained?,18-33,6,4.833333333333333,5.0,0.40824829046386296
How good is the information you have gained?,34-49,6,5.0,5.0,0.0
How good is the information you have gained?,50-65,6,8.833333333333334,5.0,9.887702800280087
How good is the information you have gained?,66-80,6,5.0,5.0,0.0
How many variables are changing?,18-33,6,5.0,5.0,0.0
How many variables are changing?,34-49,6,5.333333333333333,5.0,0.5163977794943223
How many variables are changing?,50-65,6,8.333333333333334,5.5,7.201851613763412
How many variables are changing?,66-80,6,5.5,5.5,0.5477225575051661
How mentally demanding was the task?,18-33,6,14.666666666666666,15.0,2.4221202832779936
How mentally demanding was the task?,34-49,6,16.0,16.0,1.0954451150103321
How mentally demanding was the task?,50-65,6,12.0,14.0,5.477225575051661
How mentally demanding was the task?,66-80,6,15.166666666666666,15.0,1.169045194450012
How much are you concentrating?,18-33,6,5.666666666666667,6.0,0.816496580927726
How much are you concentrating?,34-49,6,5.833333333333333,6.0,0.408248290463863
How much are you concentrating?,50-65,6,9.0,6.0,7.848566748139434
How much are you concentrating?,66-80,6,5.833333333333333,6.0,0.408248290463863
How much information have you gained?,18-33,6,4.666666666666667,5.0,0.5163977794943221
How much information have you gained?,34-49,6,4.5,4.5,0.5477225575051661
How much information have you gained?,50-65,6,8.333333333333334,4.5,9.647106647418523
How much information have you gained?,66-80,6,4.833333333333333,5.0,0.408248290463863
How much is your attention divided?,18-33,6,3.6666666666666665,4.0,0.5163977794943222
How much is your attention divided?,34-49,6,3.1666666666666665,3.0,0.752772652709081
How much is your attention divided?,50-65,6,6.833333333333333,3.0,9.410986487434071
How much is your attention divided?,66-80,6,3.0,3.0,0.6324555320336759
How much mental capacity do you have to spare?,18-33,6,3.1666666666666665,3.0,0.983192080250175
How much mental capacity do you have to spare?,34-49,6,2.8333333333333335,3.0,0.752772652709081
How much mental capacity do you have to spare?,50-65,6,7.166666666666667,3.0,9.724539406402068
How much mental capacity do you have to spare?,66-80,6,3.0,3.0,0.8944271909999159
I can rely on the highly automated vehicle.,18-33,6,4.0,4.0,0.0
I can rely on the highly automated vehicle.,34-49,6,3.3333333333333335,3.0,0.5163977794943222
